English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
"(e.g. cart, elephant) muddy, roil, disturb (water)",bùtǔ-m\\bùtù-mó,mùgùsó,,mùgúsó,lúgùdù-mɔ̀\\lúgùdù-m-ì,kúrú-wó,mùgùsó,,,bùgújó-m̀,"bùrúd-ɛ́:-m, bùgújú",bùnì-gì,,,mùgúló,bɔ̀nɛ́,,,bùrúdó,mùgúlí-yó-m\\mùgùlì-yò-mè,kúrí-yó-m(ú),bìrìbìrì kánámì,,kúró-gè,kúrú-gè
"(water) become muddied, roiled, disturbed",bùtú\\bùtó,mùgùsó,m̀bù:ró,mùgúsí-yé,"lúgùd-è:\\lúgùd-ì-ỳ, kúrò\\kúr-è",kúró,mùgùsó,,,bùgújù\\bùgújó,bùrúd-ɛ́:-\\bùrúd-í:,,,,mùgúlí-yé,bɔ̀n-yɛ́,,,bùrúdí-yɛ́,mùgúlí-y\\mùgùlì-yè,kúrí-yó,bìrìbìrì kání,,kúrè,kúré
"muddied, roiled, disturbed (water)",bùtú,mùgùsú,m̀bù:rú,mùgùsí,dì: kúrò,"kùrùgú, kùrgú",mùgùsú,,,bùgújù\\bùgújó,búrùdù,,,,múgúlú,,,,bùrúdù,,,bíríbírì,,,
"froth, foam (on tea)",kùgíy,yúgúrɔ̀,kù-kù:rú,"músî, yùgùrà-púdâ",yúbɔ̀lɔ̀,pútɔ̀,yɔ̀gɔ̀rɔ̀-pútɔ̀,pútɔ̀,,yùgɔ́rɔ́,yúgɔ̀rɔ̀,yúbɛ́rɛ́,,,yúbúdɔ́,"yúblɔ̀, káŋà",yúbúlɔ́,yúbdá,bùɲá,bùjɛ̀-bújɛ̀-ŋgò\\bùjɛ̀-bújɛ̀,pùlá,púlɔ́,,pùlà,púlá
"foam, be frothy (verb only)",kúgíy\\kúgíyɔ́,pútɔ́,,"pútɔ́, púdɛ́",,pútɔ́,pútɔ́,,,yùgúrì\\yùgɔ́rɔ́,bɔ̌:j-ɛ́:-\\bɔ̌:j-í:,,,,káná,gò:ndé,,yúbdá gǒ (gǒ-yà-),"bùɲɔ́\\bùɲa̀-lí, bùɲá gó\\gò-lí",bùjɛ́,pùlá kán(ú),púlɔ́ kání,,,
"(tea, soap, etc.) foam, be frothy, be sudsy, have bubbles on top (verb plus noun)",kùgíy kúgíy\\kúgíyɔ́,yúgúrɔ̀ ùrɔ́,kù-kù:rú kǎŋ,"pútɔ̂ pútɔ́, púdâ púdɛ́, púdɛ̂ púdɛ́",X yúbɔ̀lɔ̀ gǒ:,pútɔ̀ pútɔ́,yɔ̀gɔ̀rɔ̀-pútɔ̀ pútɔ́,,,yùgúrì\\yùgɔ́rɔ́,yúgɔ̀rɔ̀ gǒ:,,,,yúbúdɔ́ káná,,,yúbdá gǒ (gǒ-yà-),bùɲá bùɲɔ́,bùjɛ̀-bújɛ̀-ŋgò bùjɛ́,,púlɔ́ kání,,pùlà kánì,púlá kání
"(sb) cause to foam (liquid, e.g. tea)",,pútɔ́w,,pútɔ́-mí,X yúbɔ̀lɔ̀ gò:-ndó,,,,,,,,,,yúgúdɔ́ gòò-ndó,,,,bùɲɔ́-mɔ́\\bùɲɔ̀-mà-lí,,,púlɔ́ kánámì,,,
abundant froth (foam),,pútɔ̀-ɲàm-ɲàm,,"pútà pútù-pútù-pútù, yùgùrà-púdâ ɲàm-ɲàm",,pútɔ̀-ɲàm-ɲàm,,,,,yúgɔ̀rɔ̀ pùdɔ̀-pùdɔ̀,,,,yùbùdɔ̀ pújɛ̀ɛ̀ kànù,,,,,,,,,,
(froth) foaming (adverb),,lóm→,,lòm→,,ɲám→,,,,,"píbù, bùdɔ̀-bùdɔ̀",,,,púdɛ̀ɛ̀-ni\\pújɛ̀ɛ̀-ni,,,,,pújɛ̀→ nɛ̀,,,,,
foam (rising),,,,púdâ,,,,,,,,,,,yúbúdɔ́,,,,,,,,,,
(froth) foam up (rising high),túyà kárⁿú\\kárⁿá,,,,,,pútɔ́,,,,,,,,"yúbúdɔ́ káná, yúbúdɔ́ úló",gɔ̀rɛ́ (e.g. flour added to boiling pot),,,,,,,,,
"bubbling, having bubbles (surface of water, e.g. after being poured into a pail) (adverb)",,,xxx,má→,,xxx,xxx,,,,xxx,,,,xxx,,,,,,,,,,
"(liquid) be agitated, bubble up, effervesce",,,,,yúbɔ̀lɔ̀ kán(à),,,,,wàñúrⁿù\\wàɲárⁿá,,,,,búy-bùy káná,,,yúbdá gǒ (gǒ-yà-),wàŋúlíyɛ́\\wàŋùlìyà-lí,,,,,,
"(liquid) reach the boiling point, come to a boil",wⁿǎyⁿ\\wⁿàyⁿá,úyó,"úyó, wàyⁿá","ɔ́gí-yí, úyó",,"ɔ́ɣɔ́, ɔ́ɣɔ́-rɔ́",,,,,íŋé-lé,,,,wààŋí-yɛ́,,,,,wǎy\\wàyè,"púwí-yɔ́, númí-yɔ́ ('become hot')",wⁿá:wⁿè,,,wá:ɲì
(liquid) be at a full boil (with bubbles),,úyó,xxx,wàyⁿá,gɔ̀rɔ́\\gɔ́r-ɛ̀,wàyⁿá,gùnùyⁿó ~ gùnìyⁿé,,wàyⁿá,wǒ:ŋù,wǎ:ŋ-ɛ́:,ɲúŋí,,,wààŋí-yɛ́,bɔ̀s-yɛ́,,bìlí (bìlí-yà-),zùbí-yɛ́,kúy\\kùyè,,,,wá:ŋì xxx[which nasal?],wándé
(liquid) at a full boil (intensifier),púl-púl,,,,,,,,,,wáyⁿáwⁿ-wáyⁿáwⁿ,,,,"búgú-búgú, wáyⁿá-wáyⁿá",,,,,,,,,,
"boil (liquid), bring to a boil",,úyó-wú,"ɔ́wí:-mí, sírí","ɔ́gí-yɛ́-mí, úyó-mí",,"ɔ́ɣɔ́-rɔ́, wàyⁿà-wⁿá",gùnùyⁿò-wⁿó ~ gùnìyⁿì-wⁿé,,,wǒ:ŋó-m̀,"jǎ:ná, wǎ:ŋ-ɛ́:-mɔ́",,,,"wàŋá-ndá, wààŋí-yɛ́-mɔ́",,,bìlě-m (bìlě-m-tì-),zùbí-yɛ́-mɛ́,wàyá-m\\wàyà-mè,"púwí-yá-m(ú), númí-yá-m(ú)",wⁿá:wⁿámì,,,
boiling (of water with flour in a pot),,gɔ̂d,,gɔ́dî,,gɔ́dì,gɔ́dɔ̀,,,gɔ̀dú,,,,,,,,,,,,wⁿá:wⁿéŋgé,,,
"(water with flour, meat being cooked separately) be boiling up frothily (in a pot)",,gɔ̀dɔ́,,gɔ̀tɔ́,,kɔ́tɔ́,,,,gɔ̀dɔ́,gɔ̀dɔ́ xxx[chaining],,,,wààŋí-yɛ́,,,,pán\\párⁿá-lì,,,,,,
cook (medicinal preparation) in water in a pot without bringing it to a boil,zàlú\\zàlá,ɔ́w-yí,,,,,,,,jǎ:ǹ\\já:ná,ɛ́nɛ́ xxx[chaining],,,,ɛ́nnɛ́,,,,,,,,,,
boil (medicinal preparation),bòlú\\bòló,sírí,sírí,yàsí,,sígírɛ́,yá:lá,,,,jǎ:ná,,,,jàà-ndá,,,,,,,,,,
"(e.g. ice, butter) melt, (iron) become molten",tá:yà kárⁿú\\kárⁿá,sósúyó,sóríyé,tósíyé,"sódò\\sód-è, yèmé\\yém-è",nɔ́ŋɔ́rⁿɔ́,sósó,,,tɔ́:nù,sɔ́rⁿɔ́-\\sɔ́rⁿú,swɛ́jɛ́,,,sódó,sáyè,,sódó (sód-à:-),sózó,sójí\\sòjè,sójí-yó,sí:wè,,sí:wè,sí:gè
"(sb) melt (e.g. ice, butter)",tá:yà kárⁿú\\kárⁿá,sósúyó-wú,sóríyé-m,tósíyé-mí,sódò-mò\\sódù-m-ì,nɔ́ŋɔ́rⁿɔ́,sósú-wó,nóŋórⁿó,,tɔ́:rⁿù-nì\\tɔ́:rⁿú-nɔ́,sɔ́rⁿɔ́-mɔ́,,,,"yémé-mɔ́, sódó-mɔ́",sáy-mɛ̀,,sé: (sé:-yà-),sózó-mɛ́,sójó-m\\sòjò-mè,sójí-yó-m(ú),síwómì,,síwó-mì,sí:gó-mì
"slag from iron smelting, used for bullets",,ì:rⁿɛ̀yⁿ-sùwɔ́,,ì:ndà-sùgɔ́,,,,,,,,,,,ìnɛ̀ bɔ́dɔ́,,,,,,,dùbè súgɔ́,,,
(water) freeze,cɛ́ŋú\\cɛ́ŋá,tó,xxx,kúndúgíyɛ́,tónn-è:\\tónn-ì-ỳ,tó:,sílé,,,,tónɔ́-\\tónú,,,,,kúnnùg élè,,,kúnú kúnó,xxx,,nó:yè,,,áŋgé
"(shea-butter, butter, animal fat) become solid (""sleep"")",léy\\léyó,ní:yⁿí,,níyⁿɛ́,"yéyy-è:-\\yéyy-ì-ỳ (""sleep"")",ní:,níyⁿɛ́,,,,yé:,,,,yéyí-yé,nóy-yè,,ní: (ní:-yà-),nìyⁿé\\nìyⁿé-lì,nóy\\nòyè,,nó:yè,,"dó:yè (""sleep"")",nó:yè
"(water, liquid butter) freeze, become solid ",,táŋgí,màŋgí,kúndí-gí,,tó:,,,,túw-ì:\\túw-é:,tónɔ́-\\tónú,lwɛ́rí,,,yéyí-yé,,,,súwó,bìlí-yɛ́,,,,,
"frozen, hardened, having taken a solid shape",,"gúnúm, mǎ:",màŋgâ:,kúndí,,mǎyⁿ,,,,,gúnú,,,,yéyí-yáá-dɛ̀,,,,,mǎy-ŋgè\\mǎy-yè,,,,,
become solid and hard (like ice),,gúnúm táŋgú,,,,gúlúm táŋá,,,,gúnú gùnó,gúnú gùnɔ́,,,,,,,,nìyⁿé,,,,,,
(water) gush out (at a spring),,púsó,"písé, m̀bàsá",púsó,pínj-è:\\pínj-i-ỳ,"pújó, úyⁿó",púsó,,"ùrɔ́ (""go up""), ùɲɔ́",pújó ,"pújó, píɲ-í: gǒ:",,,,pínjí-yé,pínjè,,wàndí: (wàndí:-yà-),"bùzíyɛ́\\bùzìyà-lí, bùnzíyɛ́\\bùnzìyà-lí",pújí\\pùjè,pínjó,díré,,,pínjé
(water) shoot up from the ground (like a geyser),,púsó,,,,"pújó, úyⁿó",,,,pújó,"pújó, píɲ-í: gǒ:",,,,pínjí-yé xxx[sense],,,,bùzúyɔ́\\bùzìyà-lí,,,,,,
(water) pour out in a light stream (from gutter),,,,,,,,,,sójó,sɛ́rɛ́dɛ́-sɛ́rɛ́dɛ́ súgó,,,,súgó,,,,,,,,,,
(water) fall noisily (splashily),dùrú\\dùrɔ́,wòyó,wòyó,sá:rá sígé,,wòyó,wòyó,,,,xxx,,,,,,,,"bùzíyɛ́\\bùzìyà-lí, bùnzíyɛ́\\bùnzìyà-lí",dùjíyí,,,,,
(water in a river) be flowing,,yɔ̀ɣɔ́,,bòmbí,,,,,,,,,,,jɔ̀bɔ́,,,,,,,dígá,,,
(water) flow hard,zɔ̌w\\zɔ̌:,yɔ̀ɣɔ́,yɔ̀wɔ́,yɔ̀gɔ́,,wòyó,"jɔ̀wɔ́, wòyó",,,jɔ̀wɔ́,xxx,,,,(sɛ́mbɛ́ le) jɔ̀bɔ́,,,,zɔ̀bɔ́,,,sɛ́mbɛ́ ndó gwé:,,,
(river) stop flowing,,cɛ́sɛ́,dùndó,kɛ́sí-yí,,cɛ́jɛ́,kɛ́sɛ́,,,ìg-î:,púló,,,,párá,,,,"nìyⁿé\\nìyⁿé-lì, dìgílí-yɛ́",íŋgí-yɛ́,,púré,,,
(e.g. pail) overflow,,,,,,,,,,,bùj-ɛ́:-\\bùj-í:,,,,bùnjí-yɛ́,,,,,bùnjɛ́,,,,,
(river) overflow its banks,,,,,,,,,,,"bùr-ɛ́:, bǎm gǒ:",,,,bùnjí-yɛ́,,,,,ká:jí-yɛ́,ywè: táŋgó,,,,
"overflow, spill over",dǎyⁿ\\dàyⁿá,"báláwá, lɔ́ɣɔ́",sáylà káŋ,bùnjíyí,bùr-é:-\\búr-ì-ỳ,"dǎyⁿ gàrá, lɔ́ɣɔ́",gùnjɔ́,zó: gàrá,pójó,jǒ:,,,,,bùnjí-yɛ́,bùr-yɛ́,,wày-í: (wày-í:-yà-),bùzíyɛ́\\bùzìyà-lí,,ywè: táŋgó,búndyɛ̂:,,,
make (sth) overflow,,lɔ́ɣɔ́-wú,sáylà kám-mí,bùnjíyɛ́-mí,bùr-è:-mɔ́\\búr-ì:-m-ì,lɔ́ɣɔ́-wɔ́,gùnjù-wɔ́,,,jǒ:-nì,"bùr-ɛ́:-mɔ́, bùj-ɛ́:-mɔ",,,,bùnjí-yɛ́-mɔ́,bùr-ì:-mɛ́,,wày-ɛ̀:-mí (wày-ɛ̀:-mí-tì-),,,,búdyâmì,,,
scoop (liquid) with a ladle or other small container,gɔ̀rú\\gɔ̀rɔ́,kɔ́wɔ́,kɔ́:,kɔ́:,kɔ́bɔ\\kɔ́b-ɛ̀,kɔ́wɔ́,kɔ́:,kɔ́wɔ́,,kɔ́:,gɔ̀lɔ́,,,,kɔ́bɔ́,kɔ́bɛ̀,kɔ̀bɛ́,kɔ́bɔ́ (kɔ́bɔ́-tì-),kɔ́bɔ́\\kɔ́bá-lì,tóy\\tòyè,kɔ́wɔ́,kɔ̀ndɛ̀gɛ́ ndò kíní,,kínì,kíní
scoop up (water) in the cupped palm of one's hand,kɔ́tú\\kɔ́tɔ́,wàrá,gɔ̀rɔ́,wàrí,wàlá\\wál-ì,wàrá,wàrá,wàrá,,wàrá,wàlá,,,,wàlá,wàlé,wàlɛ́,wǎ: (wǎ:-tì-),wǎl\\wàlà-lí,wǎl\\wàlè,wálíyó ~ wályó-,nɛ̀: ndó kíní,,kínì,kíní
scoop (liquid) from the bottom of a nearly dry container (e.g.bucket),,,,,,,kó:só,,,kóró,kóló,,,,kélé,,,,,,,,,,
"stone, rock",tùwó,kúrⁿù,kúrⁿò,kúrⁿô ~ kúrⁿɔ̂,tìbú,tùmó,tùwó,tùmó,tùmó,tùwó,"tìbú, dúmɔ́",,,,"dúmbɔ́, tíbé",kínù-ŋ̀,kínú,cǐn (cìnú),cìn,kìnû:\\kǐn-bò,cé:mbè,kínnì,kínì (kínì gé),kínì,"kìnì, kìn-wé:"
"pebble, small stone (often rounded)",tùwò sàgùrěy,kùrⁿù-yî:,sàsàrày-yî:,sàgàrà-ǹjâ,,tùmò-î:ⁿ,tùwò-î:ⁿ,,,"tùwɛ̌yⁿ, tùwɛ̌:ⁿ",tìbì-ý,,,,"dùmbɔ̀ kùnnì-ý, dùmbɔ̀-ý",kìn-[ě:-g],kìnù ɔ́rɛ̀ɛ̀g,,cìn-íyè,kìn-sɛ̀gɛ̀rɛ́-ŋgó\\-sɛ̀gɛ̀rɛ́,sɛ̀:ndɛ́,kìnì ɲɔ́ŋgɔ̀,,kìní-bè (pl -bě:-gè),kìn wê:
"large rock, boulder",,kùrⁿù túmbí:,,kùrⁿò-kúndí,dúmbɔ̀,tùmò dùgú,,,,tùwò márⁿá,dúmɔ́,,,,dúmbɔ́ xxx[size],dúmbà-ŋ (pl dúmbà yà),dúmbàŋ,,tàbà,,,,,,kìnì
"massive (e.g. boulder, sand heap)",,túmbí:,túmbí:,,,,,,,,gì-gǎ:-gɛ̀ xxx,,,,"póó, díɛ́",,,démbè://démbù-gò,,dàŋgú\\-mbó,,bállà,,,
round stone,,kùrⁿù-yì: dólóróm,,kùrⁿò dóndóró,,tùmò-ì:ⁿ lɔ́:rɔ̀m,tùwò-ǐ:ⁿ dólóró,,,tùwò-gúnú,tìbì-y àndò:rò-ý,,,,dùmbɔ̀ dònnòlò-ý,,,,cìn-ìyè dònólò,kìn déndèl-ŋgò\\déndèlè,cè:mbè dó:lè,kìnnì dùndùlé,,,
hard black stone (used for bullets),"jɛ̀m-sàgùrá, zèmà gà:rⁿá",dùrɔ̀mbɛ̂:,kùrⁿò-màlpà-yî:,dùgùrà-pɛ̂:,,sàɣàràm jɛ́m,dùŋùrⁿùm-bɛ́:,,,dùwɔ̀-sàgɛ̀rɛ́ⁿ,ságálá,,,,"màlbà tìbè-ý, sàgàlà bɔ́dɔ́",,,,cìn sàgàlà,kìn-sɛ̀gɛ̀rɛ̀-ŋgò gɛ́mɛ̀-ŋgò\\kìn-sɛ̀gɛ̀rɛ̀ gɛ́mɛ̀,,,,,
pebble of hard black rock that can be used as a bullet,,dùrɔ̀mbɛ̂:,,,,,,,,dùwɔ̀-sàgɛ̀rⁿɛ̀:,"sàgàlà-bɔ́jɔ̀, màlbà-[tìbì-ý]",,,,"màlbà tìbè-ý, sàgàlà bɔ́dɔ́ xxx[unit or type?]",,,,sàgàlà,,,,,,
area with hard black stone used for bullets (perhaps an ancient iron quarry),zɛ̀mà-gà:rⁿá,,,,,,,,,,sàgàlà-mìnɛ́,,,,gàànà gìnɛ́,,,,,,,,,,
black igneous rock,,,,,,,,,,,,,,,"màgà dùmbɔ̀-ý, dùmbɔ̀ gɛ́m",,,,,kìn dùgà-sɛ̀mbɔ̌:\\sɛ̀mbɛ̌:,,,,,
white rock (mostly limestone),cɛ̀mbàrì tùwó,,,,,,tùwò kɛ́lɛ̀,,,,tìbì-y pìlì-ý,,,,"ùnjùm pìlì-ý, dùmbɔ̀ pìlì-ý",,,,,kìn pílɛ̀-ŋgò,,ɔ́njɔ́ kɔ̂y,,,
"soft whitish limestone (unearthed when digging wells, chewed especially by pregnant women for mineral content)",,àtǎy,,xxx,,tùmò-àtày pírú,,,,tàpìríⁿ,làgú,,,,ùɲjùm pìlì-ý,xxx,,"lègú (also 'dirt, earth')",,,,,,,
"hard rock (e.g. granite), good for construction",tùwò pèrêm,kùrⁿù-pérùm,kùrⁿò pérém,kùrⁿò pèrémbî,,,tùwò pèrêm,,,,tìbù ɛ̀jú,,,,"dùmbɔ̀ ɛ́ɛ́ⁿ, gìnɛ̀ ùdú dùmbɔ̀, dùmbɔ̀ máí-yɛ́m",,,,,,,kìnnì málá,,,
hard rock with internal seams that allow it to be broken up by hammering,,kùrⁿù kɔ̀yú,xxx,kùrⁿò kɔ̌y,,tùmò kɔ̌y,"tùwò kɔ̌y, tùwò jìmbɛ́",,,,xxx,,,,,,,,,xxx,,,,,
hard dark-colored rock (difficult to cut into shape for construction),,,,,,,,,,,xxx,,,,,,,,cìn jèmɛ́,,,,,,
hard reddish rock (difficult to cut into shape for construction),,,,,,,,,,,xxx,,,,,,,,cìn bǎn,,,,,,
fairly soft rock that can be cut into shapes for construction,tà-tápì:,kùrⁿù pílɛ́,xxx,,,tùmò pírú,,,,,xxx,,,,,,,,cìn pílɛ́,xxx,,,,,
soft rock that crumbles easily,tà-tápì:,kùrⁿù kɔ̌y,kùrⁿò pùsò-púsò,kùrⁿò àrà-kɔ̌y,,tùmò kɔ̌y,"àsàgàrǎm, àsàgàràm-kɔ̌y",,,,à-sàgàrǎm,,,,"(dùmbɔ̀) àlù sɔ̀lùmɔ́, dùmbɔ̀ búrú",,,,,sònà-pê:-ŋgò\\-pê:,,,,,
broken-up soft rock,,àsàɣàrà-sǎm,,àrà-kɔ̌y,,,,,,tùwò-tɛ̌w,à-sàgàrǎm,,,,àlù sɔ̀lùmɔ́,,,,,,,ɔ́njɔ́ kɔ̂y,,,
conglomerate rock (with segments of various rock types),,,,,,tùmò sɔ̀ŋɔ̀rⁿɔ́,,,,,,,,,xxx,,,,,,cè:mbè yágárá,,,,
cement,símà,sìmɔ̂:,sìmô:,sìmɔ̂:,sìmô:,sìmɔ̂:,sìmɔ̂:ⁿ,,,sìmá:ⁿ,sìmɔ̂:,,,,sìmɔ̂ⁿ,sìmɔ́ⁿ,sìmɔ̃́,,sìmɔ̂:ⁿ,símɔ̀:\\símɛ̀:,sìmɔ́wⁿ,sìmá:ⁿ,,xxx,xxx
gravel,sàgùrá,kùrⁿù-yì: sàɣàrǎm,sàsàrǎy,"kà-kànjí, sàgìrá",tìbù sàgɛ̌y,sàɣàrám ~ sàɣàrá,àsàgàrǎm,sàɣàrám,sàgàrá,sàgɛ̀rɛ́ⁿ,"sɛ̀lì-ý, sì-sɛ̀lì-ý",,,,"tɛ̀ŋgɛ́, sɛ̀gɛ̀rɛ̀-ý",kìnù sɛ̀ŋgrùmɛ́,kínù séngùrùmè,cìn-cɛ̀ndú,cìn-ìyè sɛ̀:ndɛ̀,kìn-sɛ̀gɛ̀rɛ́-ŋgó\\-sɛ̀gɛ̀rɛ́,sɛ̀:ndɛ́,éŋjè,,kɔ̀jɔ́-kòjɔ̀,kɔ̀:jɔ̀
pit near village where gravel is obtained,,,,lègì-bòró,,,,,,sàgɛ̀rɛ̀ⁿ-ùrⁿú,[sɛ̀lì-y]-gò:nú,,,,tɛ̀ŋgɛ̀ gòò-ndú,,,,,,,,,,
a gravelly area near Anda village,,,,sàgìrá,,,,,,,,,,,sɛ̀gɛ́\\sɛ̀-sɛ̀gɛ́,,,,,,,,,,
"soil, dirt, earth (substance)",ìsó,sùmǒy [y unnasalized],sùmbǎy,sɔ̀:mbɔ́,táy,ùjùbǎy,ùsùbǎy,,,òsóró,ìjìbǎy,,,,mìnnɛ́,sɔ̀nnɔ́,sòònnó,jìná:,dɔ̌y,sónà-ŋgò\\sónà,tágú,sôy,,,
earth (as brick mix or to repair walls),lɔ̀gú,lěw,lěy,lègí,ímnì,lègú,lègú,lègú,lègú,òsóró,làgú ,,,,ùnjúm,"ɲùmɛ́, pɔ́ndù",,lègú,"pɔ̀ndɔ̀, ùɲùmà",ǹjâ:\\ǹjɛ̂:,ɔ̀gɔ̀,ɔ́gɔ́,ɔ̀gɔ̀ (ɔ̀gɔ̀ gé),bɔ̀gɔ̀,ɔ̀gɔ́ (y-)
termite-mound earth (spread on top of roofing or on pottery as a sealant),túrú lɔ̀gù,tù-túrùm lèw,xxx,tùrù-kóndórò,,tùrù-kùŋ lègú,lègù tùtù:-kólóró,,,,tùl-kû:,,,,,,,,,xxx,,,,,
"blackish earth, loam (moist, good for farming)",lɔ̀gù jɛ́m,lèw jéwⁿè-wⁿ,sùmbày jɛ̀mɛ̂yⁿ,lègì jɛ́mí,,lègù jɛ́m,lègù jém,,,lɔ̀gɔ́,làgù gɛ́m,,,,ùnjùm gɛ́m,,,,pɔ̀ndɔ̀ jèmɛ́,ǹjà: gɛ́mɛ̀-ŋgò,,ɔ̀gɔ̀ wɛ́rɛ́dɛ́,,,
dark-brown earth,,,,,,,,,,,làgù bán,,,,ùnjúm,,,,,ǹjà: m̀búnìyà-ŋgò,,,,,
red (brown) earth,lɔ̀gù bárⁿú,lèw bárⁿà-wⁿ,sùmbày bàrⁿâyⁿ,lègì bárⁿí,,lègù bán,lègù bárⁿú,,,,,,,,ùnjùm bánú,,,,pɔ̀ndɔ̀ bǎn,ǹjà: bán-gò,,ɔ́gɔ́ yá:jì,,,
fine red earth without stones (used at Pergue for walls),,cì-cɛ̀njú,xxx,lègì bárⁿí,,lègù bán,cɛ̀-cɛ̀njú,,,,làgù bán,,,,,,,,,xxx,,,,,
light-colored earth (used for plastering interior walls),lɔ̀gù pírú,lèw pílɛ́,sùmbày píndɛ́,lègì pírí,,lègù pírú,lègù pírí,,,,làgù píl,,,,ùnjùm pílú,,,,pɔ̀ndɔ̀ pílɛ́,ǹjà: pílɛ̀-ŋgò,,,,,
mud,pɔ̀tɔ̀-pɔ́tɔ̀,pù-pɔ̀tú ~ pì-pɔ̀tú,pɔ̀pɔ̀tú,pɔ̀-pɔ̀tí,pɔ́ndù,pì-pɔ̀tú,pɔ̀-pɔ̀tú,pì-pɔ̀tú,pɔ̀tú,"lɔ̀gɔ̀ gɛ́ⁿ, lɔ̀gɔ́","pɔ́nù, pɔ́nɔ̀",,,,pɔ́ndú,pɔ́ndù,,pɔ̀ndɔ́,pɔ̀-pɔ̀dù,pɔ̀tɔ̀-pɔ̀tɛ́-ŋgò\\pɔ̀tɔ̀-pɔ̀tɛ́,ɔ̀gɔ̀,mì: téré // ɔ́gɔ́lɔ̀,,xxx,ɔ̀gɔ̀lɔ̀ (y-)
"soft mud (that sb might sink into, up to the knees)",mɔ̌:tɔ̀,ɔ̀rⁿɔ̀ pírêm,tì:bí,mɛ᷈:,ɔ́nnɔ̀,bòlòbǒw,mɛ̌:,,,ɔ̀mjɔ́ⁿ,ɔ́nɔ́,,,,ɔ́nnɔ́,pɔ̀ndù sélò,,,dɔ̀y kûl,tɔ̀mbɔ̂:\\tɔ̀mbɛ̂:,,,,,
"(earth, mud) be soft and wet (so one's foot may sink deeply into it)",,númdó-númdú bù,,,,nɔ̌m-nɔ̌m kɔ̀,,,,ɲà nɔ́mɔ́rⁿɔ́ɲú dɛ̀ŋ,nɔ́mɔ́-lɔ́-\\nɔ́mú-l,,,,,,,,"séré\\séré-lì, nò:m-nà:m-nò:m (adverb)",,,,,,
small area that is regularly muddy and slippery (e.g. near a mountain spring),ɔ̀rɔ̀-bùrɔ́,ɔ̀rⁿɔ̀ órùm,,ɔ̀rɔ̂,,,nɔ̀-nɔ̀:rⁿú,,,,làrá,,,,"tàrá, tɔ̀njú",,,,,,,,,,
"wet clay (or clayey soil, as from a drying pond)",pɔ́lɔ̀,,,pɔ́ndì,,,pɔ́:lùm,,,tàrá,xxx,,,,pɔ́ndú,,,,,,,,,,
"sand, sandy soil",ìsò-súměy,sùmòy-sô:,sùmbày bú:rù,"sɔ̀:mbɔ̀ sɛ́:rⁿɛ̀, sɛ́:rⁿɛ̀",sɔ̀lɔ̀mmɔ́,"sì-sɔ̌m, sù-sɔ̌m",sù-sǔm,sìsɔ̌m,sì-sɔ̌m,sɔ̀ⁿ̀sɔ̀nɔ́,sù-sǒm,,,,sɔ̀lùmɔ́,sɔ̀nnɔ̀ ísìlè,sòònnò ísílɛ́,sɔ̀lmɔ́,sɔ̀nzɔ̀m,sɔ̀ⁿnɛ́ndɛ̀,síyɔ́wⁿ,sóyndà,só: bùgàrè,só:njà,sòyndà
"sand of a large antmound in the fields (of army ants, Messor sp.)",,,,kɛ̀rⁿî-sɔ̀:mbɔ̀,,,,,,,,,,,kɛ̀w gìré,,,,,,,,,,
coarse sand used in construction,,,,,,,,,,,,,,,sɔ̀lùmɔ̌y,,,,,,,ɔ̀ndɔ̀lɔ̀ sôyndà,,,
very fine sand (mixed with peanuts etc. as protection from insects),,,,,,,,,,,,,,,pwásɔ́n,,,,,,,párá sóyndà,,,
clay,lɔ̀gù mònú,àtây,lěy,lègì pɔ́ndì,yàgú,àtáy,káttâl,,,"tàrá ósòrò, tàrá",làgú,,,,ùnjúm,tàrá,,lègú,"àtây, pɔ̀ndɔ̀",ǹjà: mùgô:,bɛ́rɛ́,ɔ̀gɔ̀ nógóló,,,
"clayey soil, loam (good for replastering walls)",lɔ̀gú,lèw mùlǒy,lěy,lègí,pɔ́ndù,lègù-mùnó,,dɛ̀gú,,lɔ̀gɔ́,làgù ɛ̀jú,,,,ùnjùm ɛ́lɛ́lú,,,,ʔə̀lò-tàdù pɔ́ndɔ̀,ǹjâ:\\ǹjɛ̂:,,,,,
